                  id                  |  max  |                name                
 trevor_nunn                          |  5811 | Trevor Nunn
 pierre_trividic                      |  1073 | Pierre Trividic
 ted_kotcheff                         |  7105 | Ted Kotcheff
 shari_springer_berman                |  9546 | Shari Springer Berman
 nobuhiro_yamashita                   |  9342 | Nobuhiro Yamashita
 franklin_j_schaffner                 |  8640 | Franklin J. Schaffner
 gary_sinise                          |  3865 | Gary Sinise
 james_b_rogers                       |  3916 | James B. Rogers
 prince                               |  7782 | Prince
 xiaogang-feng                        |  6486 | Xiaogang Feng
 shinji_aramaki                       |  8451 | Shinji Aramaki
 carter_smith                         |  9783 | Carter Smith
 roger_avary                          |  6666 | Roger Avary
 george_armitage                      |  8086 | George Armitage
 richard_glatzer                      |  9192 | Richard Glatzer
 peter_cattaneo                       |  9945 | Peter Cattaneo
 ed_harris                            |  9987 | Ed Harris
 jerome_robbins                       |  1735 | Jerome Robbins
 claude_jutra                         |  8110 | Claude Jutra
 larry_leker                          |   601 | Larry Leker
 martin_brest                         |  6973 | Martin Brest
 ari_folman                           |  9939 | Ari Folman
 scott_alexander                      |  3305 | Scott Alexander
 savage_steve_holland                 |  7652 | Savage Steve Holland
 kristoffer_tabori                    |  5688 | Kristoffer Tabori
 john_landis                          |  8180 | John Landis
 james_algar                          |  3059 | James Algar
 jesus_franco                         |  6534 | Jesus Franco
 jenniphr_goodman                     |  3551 | Jenniphr Goodman
 pete_michels                         | 10179 | Pete Michels
 david_veloz                          |  2049 | David Veloz
 sylvester_stallone                   |  9712 | Sylvester Stallone
 peter_bogdanovich                    |  7273 | Peter Bogdanovich
 lab_ky_mo                            |  6446 | Lab Ky Mo
 robert_ramirez                       |  6988 | Robert Ramirez
 enki-bilal                           |  8303 | Enki Bilal
 405588404                            |  7966 | Nikolaj Arcel
 gigi_gaston                          |  7299 | Gigi Gaston
 _0504297                             |  6572 | Michael Lessac
 mort_ransen                          |   110 | Mort Ransen
 steve_spaz_williams                  |  9080 | Steve 'Spaz' Williams
 1184963-alexandre_bustillo           |  9781 | Alexandre Bustillo
 igor_kovalyov                        |  2129 | Igor Kovalyov
 eric_steven_stahl                    |  8259 | Eric Steven Stahl
 robin-hardy                          |  9195 | Robin Hardy
 1181007-juan_antonio_bayona          |  9666 | Juan Antonio Bayona
 maurice_pialat                       |   691 | Maurice Pialat
 richard_spence                       |  3017 | Richard Spence
 william_wiard                        |  5339 | William Wiard
 lee_seungryeol                       |  3746 | Lee Seung-ryeol
 jason_reitman                        |  9667 | Jason Reitman
 doug_ellin                           |  1644 | Doug Ellin
 _0414302                             |  1056 | Simcha Jacobovici
 _0898603                             |  2626 | Christian Vincent
 brian_goodman                        |  6754 | Brian Goodman
 jacques_martineau                    |  2360 | Jacques Martineau
 blake_van_de_graaf                   |  8229 | Blake Van de Graaf
 mark_disalle                         |  4292 | Mark DiSalle
 marcus_raboy                         |  5506 | Marcus Raboy
 brad-mcgann                          |  8368 | Brad McGann
 aviva-kempner                        |  2932 | Aviva Kempner
 danny_cannon                         |  8856 | Danny Cannon
 jack_baran                           |   218 | Jack Baran
 amol-shetge                          |  4935 | Amol Shetge
 gordon_parks                         |  6838 | Gordon Parks
 ann_hu                               |  3932 | Ann Hu
 peter_markle                         |  8592 | Peter Markle
 tom_mcloughlin                       |  3114 | Tom McLoughlin
 brad_mirman                          |  6770 | Brad Mirman
 ron_clements                         |  1836 | Ron Clements
 yvan_attal                           | 10062 | Yvan Attal
 pawel_pawlikowski                    |  8724 | Pawel Pawlikowski
 thomas_michael_donnelly              |  5611 | Thomas Michael Donnelly
 mimi_leder                           |  3662 | Mimi Leder
 mario_bava                           |  8391 | Mario Bava
 charles_stone_iii                    |  5566 | Charles Stone
 keenen_ivory_wayans                  |  9145 | Keenen Ivory Wayans
 michael_burke                        |  6997 | Michael Burke
 raoul_ruiz                           |  9806 | Raoul Ruiz
 richard_benjamin                     |  8173 | Richard Benjamin
 norman_panama                        |  5595 | Norman Panama
 penelope_spheeris                    |  8943 | Penelope Spheeris
 luchino_visconti                     | 10081 | Luchino Visconti
 simon_shore                          |  2375 | Simon Shore
 bryan-gunnar-cole                    |  6287 | Bryan Gunnar Cole
 nicholas_ray                         |  8016 | Nicholas Ray
 philip_dunne                         |  5201 | Philip Dunne
 _0478303                             |  3100 | Marcel L'Herbier
 charles_frend                        |  7316 | Charles Frend
 ondrej_trojan                        |  8528 | Ondrej Trojan
 david_fincher                        | 10133 | David Fincher
 _0718008                             |  6073 | Lucas Reiner
 david_monahan                        |  7269 | David Monahan
 jerome_foulon                        |  4076 | Jerome Foulon
 fred_schepisi                        |  8654 | Fred Schepisi
 bob_smeaton                          |  8345 | Bob Smeaton
 jerry_london                         |  3373 | Jerry London
 jeff_probst                          |  7199 | Jeff Probst
 marcello_thedford                    |  9710 | Marcello Thedford
 edmund_goulding                      |  8429 | Edmund Goulding
 stan_lathan                          |  5955 | Stan Lathan
 fengliang_yang                       |  8207 | Fengliang Yang
 jiri_menzel                          |  9649 | Jirí Menzel
 chris_hegedus                        |  5948 | Chris Hegedus
 richard_greenberg                    |  4297 | Richard Greenberg
 sandi_dubowski                       |  4554 | Sandi DuBowski
 _0305054                             |  2667 | José Luis Garci
 will-vinton                          |  7523 | Will Vinton
 bill_rebane                          |  5007 | Bill Rebane
 bakhtiar_khudojnazarov               |  7456 | Bakhtiar Khudojnazarov
 1058590-david_leland                 |  6444 | David Leland
 john_berry                           |  4802 | John Berry
 kim_ji_woon                          |  8851 | Kim Ji-woon
 melvin_van_peebles                   |  8437 | Melvin Van Peebles
 aleksi_makela                        |  8995 | Aleksi Mäkelä
 phil_roman                           |  3574 | Phil Roman
 david_slade                          |  9595 | David Slade
 steve_hickner                        |  9627 | Steve Hickner
 gottfried_reinhardt                  |  4786 | Gottfried Reinhardt
 perry_henzell                        |  5671 | Perry Henzell
 antonio_banderas                     |  2731 | Antonio Banderas
 tony_gatlif                          |  9883 | Tony Gatlif
 don_michael_paul                     |  9516 | Don Michael Paul
 1164053-david_lachapelle             |  8733 | David LaChapelle
 john_turturro                        |  2527 | John Turturro
 michael_haussman                     |  8639 | Michael Haussman
 nicole_kassell                       |  8398 | Nicole Kassell
 rob-vanalkemade                      |  9842 | Rob VanAlkemade
 george_seaton                        |  8056 | George Seaton
 darren_grant                         |  8539 | Darren Grant
 rene_laloux                          |  3393 | René Laloux
 anderson_paul                        |  6719 | Anderson Paul
 blake_edwards                        |  9046 | Blake Edwards
 paul_justman                         |  5455 | Paul Justman
 gary_oldman                          |  1638 | Gary Oldman
 john_lee_hancock                     |  6394 | John Lee Hancock
 joe_mendez                           |  9972 | Joe Mendez
 julie_bertuccelli                    |  6945 | Julie Bertuccelli
 jeffrey_nachmanoff                   |  9955 | Jeffrey Nachmanoff
 jan_sverak                           |  5076 | Jan Sverák
 eric_red                             |  1210 | Eric Red
 herbert_ross                         |  8146 | Herbert Ross
 andrew_dominik                       |  9601 | Andrew Dominik
 kelly_asbury                         |  7399 | Kelly Asbury
 jeff_kanew                           |  6304 | Jeff Kanew
 saul_dibb                            | 10004 | Saul Dibb
 amir_valina                          |  9004 | Amir Valina
 nick_cassavetes                      |  9337 | Nick Cassavetes
 satoshi_kon                          |  9452 | Satoshi Kon
 farhad_mann                          |    65 | Farhad Mann
 david_lowell_rich                    |  2308 | David Lowell Rich
 john_cameron_mitchell                |  9255 | John Cameron Mitchell
 perry-andelin-blake                  |  5149 | Perry Andelin Blake
 1069974-robert_stone                 |  7903 | Robert Stone
 eric_hannah                          |  4489 | Eric Hannah
 trent-cooper                         |  9058 | Trent Cooper
 leonid_boyko                         |  1660 | Leonid Boyko
 harry_winer                          |  4483 | Harry Winer
 billy_morrissette                    |  4757 | Billy Morrissette
 brenton_spencer                      | 10178 | Brenton Spencer
 richard_fleischer                    |  8386 | Richard Fleischer
 stephen_norrington                   |  7932 | Stephen Norrington
 todd_stephens                        |  6470 | Todd Stephens
 dalton_trumbo                        |  8108 | Dalton Trumbo
 michael_blieden                      |  9801 | Michael Blieden
 trey_parker                          |  2462 | Trey Parker
 shainee_gabel                        |  8402 | Shainee Gabel
 _0365131                             |  1531 | Monika Harris
 steve_shill                          |  3507 | Steve Shill
 julian_jarrold                       |  9912 | Julian Jarrold
 jim_abrahams                         |  5188 | Jim Abrahams
 gerard_krawczyk                      |  8266 | Gérard Krawczyk
 louis_j_gasnier                      |  6791 | Louis J. Gasnier
 hsiaohsien_hou                       |  9816 | Hsiao-hsien Hou
 andrew-gallerani                     |  7063 | Andrew Gallerani
 david_kane                           |  4488 | David Kane
 callie_khouri                        |  9701 | Callie Khouri
 marita_giovanni                      |  4927 | Marita Giovanni
 harold_d_schuster                    |   934 | Harold D. Schuster
 patrick_read_johnson                 |  5237 | Patrick Read Johnson
 george_ratliff                       |  9532 | George Ratliff
 michael_powell                       |  8978 | Michael Powell
 _0675479                             |  4900 | Bill Persky
 patrick_gilmore_iii                  |  6129 | Patrick Gilmore (III)
 jonathan-karsh                       |  6711 | Jonathan Karsh
 ubaldo_ragona                        |  7188 | Ubaldo Ragona
 jan_eliasberg                        |  7775 | Jan Eliasberg
 roy_allen_smith                      |   806 | Roy Allen Smith
 james_edward_grant                   |   878 | James Edward Grant
 ken_wiederhorn                       |  5236 | Ken Wiederhorn
 james_signorelli                     |  4180 | James Signorelli
 martina_kudlacek                     |  5664 | Martina Kudlácek
 seth_macFarlane                      | 10173 | Seth MacFarlane
 anders_w_berthelsen                  |  3048 | Anders W. Berthelsen
 james_toback                         |  8378 | James Toback
 _0770474                             |  4848 | Robert Scheerer
 mamoru_oshii                         |  8323 | Mamoru Oshii
 robert_harmon                        |  7779 | Robert Harmon
 william_peter_blatty                 |  4867 | William Peter Blatty
 philip_saville                       |  8360 | Philip Saville
 joel_hopkins                         |  7031 | Joel Hopkins
 percy_adlon                          |  4933 | Percy Adlon
 dylan_kidd                           |  7847 | Dylan Kidd
 vincent_ward                         |  7653 | Vincent Ward
 gina_prince                          |  3267 | Gina Prince
 agnes_merlet                         |  1521 | Agnès Merlet
 lisa_cholodenko                      |  5825 | Lisa Cholodenko
 sam_jones                            |  5914 | Sam Jones
 laurence_olivier                     |  7076 | Laurence Olivier
 john_g_avildsen                      |  8122 | John G. Avildsen
 shigehiro_ozawa                      |  7190 | Shigehiro Ozawa
 olivier-marchal                      |  9183 | Olivier Marchal
 frank_laloggia                       |  4196 | Frank LaLoggia
 tom_desimone                         |  3867 | Tom DeSimone
 bruce_malmuth                        |  8205 | Bruce Malmuth
 jaeeun_jeong                         |  5327 | Jae-eun Jeong
 vittorio_de_sica                     |  7690 | Vittorio De Sica
 richard_brooks_i                     |  7453 | Richard Brooks I
 arthur_penn                          |  8139 | Arthur Penn
 anthony_asquith                      |  6658 | Anthony Asquith
 kurt_neumann                         |  6488 | Kurt Neumann
 1036586-chris_williams               | 10088 | Chris Williams
 holly_goldberg_sloan                 |  7542 | Holly Goldberg Sloan
 jeff_bleckner                        |  4651 | Jeff Bleckner
 christine_jeffs                      |  8656 | Christine Jeffs
 andrzej_wajda                        |  9892 | Andrzej Wajda
 mitch_davis                          |  5919 | Mitch Davis
 busby_berkeley                       |  7420 | Busby Berkeley
 jim_kaufman                          |  7787 | Jim Kaufman
 jerry_zaks                           |  1269 | Jerry Zaks
 gavin_oconner                        |  2866 | Gavin O'Conner
 shunji_iwai                          |  5114 | Shunji Iwai
 martin_hynes                         |  9675 | Martin Hynes
 francis_megahy                       |  3237 | Francis Megahy
 david_yates                          |  9506 | David Yates
 peter_hyams                          |  8305 | Peter Hyams
 hironobu_sakaguchi                   |  4128 | Hironobu Sakaguchi
 harold_ramis                         |  8928 | Harold Ramis
 greg_berlanti                        |  3609 | Greg Berlanti
 richard_lang                         |  4866 | Richard Lang
 kwontaek_im                          |  6235 | Kwon-taek Im
 agnes_jaoui                          |  8623 | Agnès Jaoui
 kuk_kwok_leung                       |  9126 | Kuk Kwok Leung
 brett_thompson                       |   677 | Brett Thompson
 linda_mendoza                        |  5903 | Linda Mendoza
 john_warren                          |  1653 | John Warren
 william_malone                       |  5203 | William Malone
 jason_priestley                      |  3608 | Jason Priestley
 gil-kenan                            | 10010 | Gil Kenan
 eric_eason                           |  6084 | Eric Eason
 jim_mcbride                          |  4277 | Jim McBride
 richard_pearce                       |  7021 | Richard Pearce
 danny_steinmann                      |  1766 | Danny Steinmann
 larry_david                          |  1654 | Larry David
 susan_streitfeld                     |  1189 | Susan Streitfeld
 rip_torn                             |  4229 | Rip Torn
 bj_alexander                         |  6636 | B.J. Alexander
 robert_kurtzman                      |  1455 | Robert Kurtzman
 1141962-richard_kelly                |  9645 | Richard Kelly
 alan_rickman                         |  1547 | Alan Rickman
 basil_dearden                        |  8080 | Basil Dearden
 charles_loventhal                    |  3826 | Charles Loventhal
 joel_gallen                          |  4637 | Joel Gallen
 10002677-chris_hall                  |  9677 | Chris Hall
 1043170-george_b_seitz               |  7423 | George B. Seitz
 chris_bell                           |  9839 | Chris Bell
 bill_forsyth                         |  5390 | Bill Forsyth
 shohei_imamura                       |  9886 | Shohei Imamura
 kayo-hatta                           |   291 | Kayo Hatta
 tim_story                            |  9483 | Tim Story
 frank_miller                         |  9960 | Frank Miller (II)
 john-ruane                           |   791 | John Ruane
 margarethe_von_trotta                |  8493 | Margarethe von Trotta
 alex_holdridge                       |  9492 | Alex Holdridge
 steven_zaillian                      |  9227 | Steven Zaillian
 cedric_sundstrom                     |  4245 | Cedric Sundstrom
 john_bruno                           |  2222 | John Bruno
 ramon_menendez                       |  6798 | Ramón Menéndez
 john_dower                           |  7608 | John Dower
 christopher_menaul                   |   159 | Christopher Menaul
 arliss_howard                        |  4791 | Arliss Howard
 greg_pritikin                        |  6296 | Greg Pritikin
 jocelyn_moorhouse                    |  1456 | Jocelyn Moorhouse
 susanne_ofteringer                   |    76 | Susanne Ofteringer
 edward_buzzell                       |  8820 | Edward Buzzell
 chi_moui_lo                          |  3581 | Chi Moui Lo
 jennifer-lynch                       |   409 | Jennifer Chambers Lynch
 james_algar_and_clyde_geronimi       |  3657 | James Algar & Clyde Geronimi
 francois_dupeyron                    |  6863 | François Dupeyron
 susan_warms_dryfoos                  |  1038 | Susan Warms Dryfoos
 bille_woodruff                       |  8622 | Bille Woodruff
 renny_bartlett                       |  8952 | Renny Bartlett
 elizabeth_pena                       |  4686 | Elizabeth Peña
 tom_decillo                          |  7489 | Tom Decillo
 yang_tuenping                        |  8241 | Yang Tuen-Ping
 leander_haussmann                    |  9478 | Leander Haußmann
 john_hamburg                         |  6742 | John Hamburg
 peyton_reed                          | 10135 | Peyton Reed
 thomas_bentley                       |  8836 | Thomas Bentley
 jonathan_caouette                    |  7866 | Jonathan Caouette
 robert_allan_ackerman                |   363 | Robert Allan Ackerman
 bruce_mcculloch                      |  5217 | Bruce McCulloch
 christian_gonzalez                   |  8540 | Christian Gonzalez
 fred_coe                             |  8075 | Fred Coe
 stephenjanderson                     |  9421 | Stephen J. Anderson
 anand_tucker                         |  9849 | Anand Tucker
 mikhail_kalatozov                    |  5024 | Mikhail Kalatozov
 valentine_davies                     |  5840 | Valentine Davies
 evelyn_purcell                       |  8187 | Evelyn Purcell
 mike_barker                          |  9674 | Mike Barker
 peter_sollett                        |  9996 | Peter Sollett
 william_nicholson                    |  1982 | William Nicholson
 eva_sereny                           |   550 | Eva Sereny
 peter_baldwin                        |  1302 | Peter Baldwin
 gary_ross                            |  2096 | Gary Ross
 timbor_bekmambetov                   |  9859 | Timur Bekmambetov
 kathryn_bigelow                      |  5585 | Kathryn Bigelow
 felix_enriquez_alcala                |  9690 | Félix Enríquez Alcalá
 glen_pitre                           |  2240 | Glen Pitre
 christopher_hampton                  |    35 | Christopher Hampton
 ted_nicolaou                         |  3742 | Ted Nicolaou
 lucky_mckee                          |  5683 | Lucky McKee
 lewis_teague                         |  5027 | Lewis Teague
 bryan_lewis                          |  6083 | Bryan Lewis
 andy_tennant                         |  9728 | Andy Tennant
 joe-flood                            |  5495 | Joe Flood
 jack_couffer                         |  7426 | Jack Couffer
 carlos_carrera                       |  5453 | Carlos Carrera
 michael_catonjones                   |  9278 | Michael Caton-Jones
 scott_winant                         |   721 | Scott Winant
 richard_t_heffron                    |  5703 | Richard T. Heffron
 victor_saville                       |   704 | Victor Saville
 tuck-tucker                          |  5098 | Tuck Tucker
 carl_schultz                         |  2041 | Carl Schultz
 alain_berliner                       |  3253 | Alain Berliner
 manny_nathan_hahn                    |  6158 | Manny Nathan Hahn
 john_schlesinger                     |  8593 | John Schlesinger
 1013265-james_robinson               |  6257 | James Robinson
 thomas_mccarthy                      |  9788 | Thomas McCarthy
 tarsem                               |  9817 | Tarsem Singh
 brent_maddock                        |  7172 | Brent Maddock
 1073412-nancy_walker                 |  4502 | Nancy Walker
 clare_kilner                         |  8478 | Clare Kilner
 jackie_kong                          |  7684 | Jackie Kong
 hiroyuki_okiura                      |  7324 | Hiroyuki Okiura
 dorothy_arzner                       |  3177 | Dorothy Arzner
 alan_hruska                          |  6284 | Alan Hruska
 wesley_ruggles                       |  6653 | Wesley Ruggles
 terry_george                         |  9598 | Terry George
 jonathan_mostow                      |  6130 | Jonathan Mostow
 josef_fares                          |  8283 | Josef Fares
 austin_chick                         |  5901 | Austin Chick
 jeff_feuerzeig                       |  9052 | Jeff Feuerzeig
 gregg_araki                          |  8677 | Gregg Araki
 saul_metzstein                       |  8276 | Saul Metzstein
 harold_becker                        |  8182 | Harold Becker
 john_boorman                         |  8325 | John Boorman
 clive_a_smith                        |  8160 | Clive A. Smith
 paul_rodriguez                       |  7776 | Paul Rodriguez
 gary_halvorson                       |  2643 | Gary Halvorson
 tom_shadyac                          |  9503 | Tom Shadyac
 john_milius                          |  7427 | John Milius
 kohtaru_terauchi                     |  9840 | Kohtaru Terauchi
 dale_stelly                          |  9457 | Dale Stelly
 catherine_hardwicke                  | 10091 | Catherine Hardwicke
 1184531-stephen_walker               |  9826 | Stephen Walker
 yves_robert                          |  5474 | Yves Robert
 lucile_hadzihalilovic                |  8846 | Lucile Hadzihalilovic
 1053511-steve_james                  |  1305 | Steve James
 rusty_cundieff                       |  1376 | Rusty Cundieff
 dein-perry                           |  3638 | Dein Perry
 mark_palansky                        |  9757 | Mark Palansky
 michael_tolkin                       |  1812 | Michael Tolkin
 brian_hutton                         |  6390 | Brian G. Hutton
 trevor_moore                         |  7431 | Trevor Moore
 rosanna_arquette                     |  6921 | Rosanna Arquette
 christian-charles                    |  9620 | Christian Charles
 jacques_perrin                       |  5907 | Jacques Perrin
 kirk_de_micco                        |  9903 | Kirk De Micco
 juan_jose_campanella                 |  5248 | Juan José Campanella
 gregory_jacobs                       |  7794 | Gregory Jacobs
 buichi_saito                         | 10037 | Buichi Saito
 achero_manas_ii                      |  5571 | Achero Mañas
 nicolas_roeg                         |  6617 | Nicolas Roeg
 1066196-rodrigo_garcia               |  8897 | Rodrigo García
 douglas_trumbull                     |  5061 | Douglas Trumbull
 regis_wargnier                       |  3082 | Régis Wargnier
 max_faerberboeck                     |  3553 | Max Färberböck
 billy-hopkins                        |  1512 | Billy Hopkins
 philippe_mora                        |  5551 | Philippe Mora
 _0375476                             |   751 | Jaime Hellman
 thorold_dickinson                    |   821 | Thorold Dickinson
 costas_mandylor                      |  4996 | Costas Mandylor
 alan_j_pakula                        |  7289 | Alan J. Pakula
 randall_miller                       |  9923 | Randall Miller
 kazuya_tsurumaki                     | 10007 | Kazuya Tsurumaki
 larry_bishop                         |  9932 | Larry Bishop
 paul_lazarus                         |  7107 | Paul Lazarus
 paul_moloney                         |  8686 | Paul Moloney
 matt_maiellaro                       |  9433 | Matt Maiellaro
 quanan_wang                          | 10132 | Quanan Wang
 tony_gilroy                          |  9592 | Tony Gilroy
 _0676336                             |  4849 | Barbara Peeters
 damon_santostefano                   |  8315 | Damon Santostefano
 mario_van_peebles                    |  7598 | Mario Van Peebles
 francisco_j_lombardi                 |  7129 | Francisco J. Lombardi
 jake_kasdan                          |  9686 | Jake Kasdan
 claudia_lonow                        | 10166 | Claudia Lonow
 hugh-hudson                          |  6565 | Hugh Hudson
 walter_hill                          |  8293 | Walter Hill
 1175606-denis_dercourt               |  9310 | Denis Dercourt
 frederic_golchan                     |  2457 | Frederic Golchan
 michael_crichton                     |  5882 | Michael Crichton
 nathan_juran                         |  8339 | Nathan Juran
 matthew_ryan_hoge                    |  6939 | Matthew Ryan Hoge
 joe_dante                            |  7102 | Joe Dante
 sidney_lanfield                      |  6490 | Sidney Lanfield
 wolfgang_petersen                    |  9094 | Wolfgang Petersen
 rob_corn                             | 10163 | Rob Corn
 simon_wells                          |  4831 | Simon Wells
 robert_de_niro                       |  9308 | Robert De Niro
 michael_coldewey                     |  5622 | Michael Coldewey
 vincent_mceveety                     |  4142 | Vincent McEveety
 tommy_lee_jones                      |  8957 | Tommy Lee Jones
 sean_anders                          | 10073 | Sean Anders
 david_twohy                          |  7410 | David Twohy
 vicente_aranda                       |  8442 | Vicente Aranda
 ken_annakin                          |  8642 | Ken Annakin
 david_decoteau                       | 10085 | David DeCoteau
 1140240-tom_brady                    |  9600 | Tom Brady
 nuri_bilge_ceylan                    | 10080 | Nuri Bilge Ceylan
 mark_pavia                           |  1578 | Mark Pavia
 gary_sherman                         |  5364 | Gary Sherman
 robert-kaylor                        |  4503 | Robert Kaylor
 mariejeanne_pascal                   |  6342 | Marie-Jeanne Pascal
 gillian_armstrong                    |  9897 | Gillian Armstrong
 alison_maclean                       |  3452 | Alison Maclean
 martha_coolidge                      |  9178 | Martha Coolidge
 malcolm_d_lee                        | 10074 | Malcolm D. Lee
 anne_de_salvo                        |  3750 | Anne De Salvo
 dagmar_schindel_hildebrad            |  6983 | Dagmar Schindel-Hildebrad
 mark_jonathan_harris                 |  4440 | Mark Jonathan Harris
 sherm_cohen                          |  7899 | Sherm Cohen
 jonathan_nossiter                    |  3838 | Jonathan Nossiter
 wang-hong-wei                        |  5870 | Hongwei Wang
 dave_borthwick                       |  9022 | Dave Borthwick
 neil_labute                          |  9971 | Neil LaBute
 bryan_johnson                        |  4982 | Bryan Johnson
 christian_zubert                     |  7169 | Christian Zubert
 chazz_palminteri                     |  8383 | Chazz Palminteri
 allen_coulter                        |  9203 | Allen Coulter
 phillip_rhee                         |  6085 | Phillip Rhee
 adam_curtis                          |  9494 | Adam Curtis
 david_schwimmer                      |  9742 | David Schwimmer
 mathieu_kassovitz                    |  9954 | Mathieu Kassovitz
 martin_weisz                         |  9407 | Martin Weisz
 alex_turner_ii                       |  9077 | Alex Turner (II)
 kim-bartley                          |  6511 | Kim Bartley
 ken_loach                            |  9731 | Ken Loach
 dj_caruso                            |  9992 | D.J. Caruso
 manny_coto                           |  8529 | Manny Coto
 miranda_july                         |  8734 | Miranda July
 joel_surnow                          | 10157 | Joel Surnow
 james_gray                           |  9590 | James Gray
 bob_clark_iii                        |  8633 | Bob Clark (III)
 delbert_mann                         |  7424 | Delbert Mann
 genevieve_jolliffe                   |  7442 | Geneviève Jolliffe
 1190618-kevin_willmott               |  8875 | Kevin Willmott
 scott_ziehl                          |  2465 | Scott Ziehl
 john_stainton                        |  5111 | John Stainton
 marc_evans                           |  9287 | Marc Evans
 mikael_kristersson                   |  2974 | Mikael Kristersson
 dennie_gordon                        |  6995 | Dennie Gordon
 baz_luhrmann                         | 10087 | Baz Luhrmann
