richard_donner|Richard Donner
pierre_trividic|Pierre Trividic
ted_kotcheff|Ted Kotcheff
shari_springer_berman|Shari Springer Berman
nobuhiro_yamashita|Nobuhiro Yamashita
franklin_j_schaffner|Franklin J. Schaffner
gary_sinise|Gary Sinise
james_b_rogers|James B. Rogers
prince|Prince
xiaogang-feng|Xiaogang Feng
shinji_aramaki|Shinji Aramaki
carter_smith|Carter Smith
roger_avary|Roger Avary
george_armitage|George Armitage
richard_glatzer|Richard Glatzer
peter_cattaneo|Peter Cattaneo
ed_harris|Ed Harris
jerome_robbins|Jerome Robbins
claude_jutra|Claude Jutra
larry_leker|Larry Leker
martin_brest|Martin Brest
ari_folman|Ari Folman
scott_alexander|Scott Alexander
savage_steve_holland|Savage Steve Holland
kristoffer_tabori|Kristoffer Tabori
john_landis|John Landis
james_algar|James Algar
jesus_franco|Jesus Franco
jenniphr_goodman|Jenniphr Goodman
pete_michels|Pete Michels
david_veloz|David Veloz
sylvester_stallone|Sylvester Stallone
peter_bogdanovich|Peter Bogdanovich
lab_ky_mo|Lab Ky Mo
robert_ramirez|Robert Ramirez
enki-bilal|Enki Bilal
405588404|Nikolaj Arcel
gigi_gaston|Gigi Gaston
_0504297|Michael Lessac
mort_ransen|Mort Ransen
steve_spaz_williams|Steve 'Spaz' Williams
1184963-alexandre_bustillo|Alexandre Bustillo
igor_kovalyov|Igor Kovalyov
eric_steven_stahl|Eric Steven Stahl
robin-hardy|Robin Hardy
1181007-juan_antonio_bayona|Juan Antonio Bayona
maurice_pialat|Maurice Pialat
richard_spence|Richard Spence
william_wiard|William Wiard
lee_seungryeol|Lee Seung-ryeol
jason_reitman|Jason Reitman
doug_ellin|Doug Ellin
_0414302|Simcha Jacobovici
_0898603|Christian Vincent
brian_goodman|Brian Goodman
jacques_martineau|Jacques Martineau
blake_van_de_graaf|Blake Van de Graaf
mark_disalle|Mark DiSalle
marcus_raboy|Marcus Raboy
brad-mcgann|Brad McGann
aviva-kempner|Aviva Kempner
danny_cannon|Danny Cannon
jack_baran|Jack Baran
amol-shetge|Amol Shetge
gordon_parks|Gordon Parks
ann_hu|Ann Hu
peter_markle|Peter Markle
tom_mcloughlin|Tom McLoughlin
brad_mirman|Brad Mirman
ron_clements|Ron Clements
yvan_attal|Yvan Attal
pawel_pawlikowski|Pawel Pawlikowski
thomas_michael_donnelly|Thomas Michael Donnelly
mimi_leder|Mimi Leder
mario_bava|Mario Bava
charles_stone_iii|Charles Stone
keenen_ivory_wayans|Keenen Ivory Wayans
michael_burke|Michael Burke
raoul_ruiz|Raoul Ruiz
richard_benjamin|Richard Benjamin
norman_panama|Norman Panama
penelope_spheeris|Penelope Spheeris
luchino_visconti|Luchino Visconti
simon_shore|Simon Shore
bryan-gunnar-cole|Bryan Gunnar Cole
nicholas_ray|Nicholas Ray
philip_dunne|Philip Dunne
_0478303|Marcel L'Herbier
charles_frend|Charles Frend
ondrej_trojan|Ondrej Trojan
david_fincher|David Fincher
_0718008|Lucas Reiner
david_monahan|David Monahan
jerome_foulon|Jerome Foulon
fred_schepisi|Fred Schepisi
bob_smeaton|Bob Smeaton
jerry_london|Jerry London
jeff_probst|Jeff Probst
marcello_thedford|Marcello Thedford
edmund_goulding|Edmund Goulding
stan_lathan|Stan Lathan
fengliang_yang|Fengliang Yang
jiri_menzel|Jirí Menzel
chris_hegedus|Chris Hegedus
richard_greenberg|Richard Greenberg
sandi_dubowski|Sandi DuBowski
_0305054|José Luis Garci
will-vinton|Will Vinton
bill_rebane|Bill Rebane
bakhtiar_khudojnazarov|Bakhtiar Khudojnazarov
1058590-david_leland|David Leland
john_berry|John Berry
kim_ji_woon|Kim Ji-woon
melvin_van_peebles|Melvin Van Peebles
aleksi_makela|Aleksi Mäkelä
phil_roman|Phil Roman
david_slade|David Slade
steve_hickner|Steve Hickner
gottfried_reinhardt|Gottfried Reinhardt
perry_henzell|Perry Henzell
antonio_banderas|Antonio Banderas
tony_gatlif|Tony Gatlif
don_michael_paul|Don Michael Paul
1164053-david_lachapelle|David LaChapelle
john_turturro|John Turturro
michael_haussman|Michael Haussman
nicole_kassell|Nicole Kassell
rob-vanalkemade|Rob VanAlkemade
george_seaton|George Seaton
darren_grant|Darren Grant
rene_laloux|René Laloux
anderson_paul|Anderson Paul
blake_edwards|Blake Edwards
paul_justman|Paul Justman
gary_oldman|Gary Oldman
john_lee_hancock|John Lee Hancock
joe_mendez|Joe Mendez
julie_bertuccelli|Julie Bertuccelli
jeffrey_nachmanoff|Jeffrey Nachmanoff
jan_sverak|Jan Sverák
eric_red|Eric Red
herbert_ross|Herbert Ross
andrew_dominik|Andrew Dominik
kelly_asbury|Kelly Asbury
jeff_kanew|Jeff Kanew
saul_dibb|Saul Dibb
amir_valina|Amir Valina
nick_cassavetes|Nick Cassavetes
satoshi_kon|Satoshi Kon
farhad_mann|Farhad Mann
david_lowell_rich|David Lowell Rich
john_cameron_mitchell|John Cameron Mitchell
perry-andelin-blake|Perry Andelin Blake
1069974-robert_stone|Robert Stone
eric_hannah|Eric Hannah
trent-cooper|Trent Cooper
leonid_boyko|Leonid Boyko
harry_winer|Harry Winer
billy_morrissette|Billy Morrissette
brenton_spencer|Brenton Spencer
richard_fleischer|Richard Fleischer
stephen_norrington|Stephen Norrington
todd_stephens|Todd Stephens
dalton_trumbo|Dalton Trumbo
michael_blieden|Michael Blieden
trey_parker|Trey Parker
shainee_gabel|Shainee Gabel
_0365131|Monika Harris
steve_shill|Steve Shill
julian_jarrold|Julian Jarrold
jim_abrahams|Jim Abrahams
gerard_krawczyk|Gérard Krawczyk
louis_j_gasnier|Louis J. Gasnier
hsiaohsien_hou|Hsiao-hsien Hou
andrew-gallerani|Andrew Gallerani
david_kane|David Kane
callie_khouri|Callie Khouri
marita_giovanni|Marita Giovanni
harold_d_schuster|Harold D. Schuster
patrick_read_johnson|Patrick Read Johnson
george_ratliff|George Ratliff
michael_powell|Michael Powell
_0675479|Bill Persky
patrick_gilmore_iii|Patrick Gilmore (III)
jonathan-karsh|Jonathan Karsh
ubaldo_ragona|Ubaldo Ragona
jan_eliasberg|Jan Eliasberg
roy_allen_smith|Roy Allen Smith
james_edward_grant|James Edward Grant
ken_wiederhorn|Ken Wiederhorn
james_signorelli|James Signorelli
martina_kudlacek|Martina Kudlácek
seth_macFarlane|Seth MacFarlane
anders_w_berthelsen|Anders W. Berthelsen
james_toback|James Toback
_0770474|Robert Scheerer
mamoru_oshii|Mamoru Oshii
robert_harmon|Robert Harmon
william_peter_blatty|William Peter Blatty
philip_saville|Philip Saville
joel_hopkins|Joel Hopkins
percy_adlon|Percy Adlon
dylan_kidd|Dylan Kidd
vincent_ward|Vincent Ward
gina_prince|Gina Prince
agnes_merlet|Agnès Merlet
lisa_cholodenko|Lisa Cholodenko
sam_jones|Sam Jones
laurence_olivier|Laurence Olivier
john_g_avildsen|John G. Avildsen
shigehiro_ozawa|Shigehiro Ozawa
olivier-marchal|Olivier Marchal
frank_laloggia|Frank LaLoggia
tom_desimone|Tom DeSimone
bruce_malmuth|Bruce Malmuth
jaeeun_jeong|Jae-eun Jeong
vittorio_de_sica|Vittorio De Sica
richard_brooks_i|Richard Brooks I
arthur_penn|Arthur Penn
anthony_asquith|Anthony Asquith
kurt_neumann|Kurt Neumann
1036586-chris_williams|Chris Williams
holly_goldberg_sloan|Holly Goldberg Sloan
jeff_bleckner|Jeff Bleckner
christine_jeffs|Christine Jeffs
andrzej_wajda|Andrzej Wajda
mitch_davis|Mitch Davis
busby_berkeley|Busby Berkeley
jim_kaufman|Jim Kaufman
jerry_zaks|Jerry Zaks
gavin_oconner|Gavin O'Conner
shunji_iwai|Shunji Iwai
martin_hynes|Martin Hynes
francis_megahy|Francis Megahy
david_yates|David Yates
peter_hyams|Peter Hyams
hironobu_sakaguchi|Hironobu Sakaguchi
harold_ramis|Harold Ramis
greg_berlanti|Greg Berlanti
richard_lang|Richard Lang
kwontaek_im|Kwon-taek Im
agnes_jaoui|Agnès Jaoui
kuk_kwok_leung|Kuk Kwok Leung
brett_thompson|Brett Thompson
linda_mendoza|Linda Mendoza
john_warren|John Warren
william_malone|William Malone
jason_priestley|Jason Priestley
gil-kenan|Gil Kenan
eric_eason|Eric Eason
jim_mcbride|Jim McBride
richard_pearce|Richard Pearce
danny_steinmann|Danny Steinmann
larry_david|Larry David
susan_streitfeld|Susan Streitfeld
rip_torn|Rip Torn
bj_alexander|B.J. Alexander
robert_kurtzman|Robert Kurtzman
1141962-richard_kelly|Richard Kelly
alan_rickman|Alan Rickman
basil_dearden|Basil Dearden
charles_loventhal|Charles Loventhal
joel_gallen|Joel Gallen
10002677-chris_hall|Chris Hall
1043170-george_b_seitz|George B. Seitz
chris_bell|Chris Bell
bill_forsyth|Bill Forsyth
shohei_imamura|Shohei Imamura
kayo-hatta|Kayo Hatta
tim_story|Tim Story
frank_miller|Frank Miller (II)
john-ruane|John Ruane
margarethe_von_trotta|Margarethe von Trotta
alex_holdridge|Alex Holdridge
steven_zaillian|Steven Zaillian
cedric_sundstrom|Cedric Sundstrom
john_bruno|John Bruno
ramon_menendez|Ramón Menéndez
john_dower|John Dower
christopher_menaul|Christopher Menaul
arliss_howard|Arliss Howard
greg_pritikin|Greg Pritikin
jocelyn_moorhouse|Jocelyn Moorhouse
susanne_ofteringer|Susanne Ofteringer
edward_buzzell|Edward Buzzell
chi_moui_lo|Chi Moui Lo
jennifer-lynch|Jennifer Chambers Lynch
james_algar_and_clyde_geronimi|James Algar & Clyde Geronimi
francois_dupeyron|François Dupeyron
susan_warms_dryfoos|Susan Warms Dryfoos
bille_woodruff|Bille Woodruff
renny_bartlett|Renny Bartlett
elizabeth_pena|Elizabeth Peña
tom_decillo|Tom Decillo
yang_tuenping|Yang Tuen-Ping
leander_haussmann|Leander Haußmann
john_hamburg|John Hamburg
peyton_reed|Peyton Reed
thomas_bentley|Thomas Bentley
jonathan_caouette|Jonathan Caouette
robert_allan_ackerman|Robert Allan Ackerman
bruce_mcculloch|Bruce McCulloch
christian_gonzalez|Christian Gonzalez
fred_coe|Fred Coe
stephenjanderson|Stephen J. Anderson
anand_tucker|Anand Tucker
mikhail_kalatozov|Mikhail Kalatozov
valentine_davies|Valentine Davies
evelyn_purcell|Evelyn Purcell
mike_barker|Mike Barker
peter_sollett|Peter Sollett
william_nicholson|William Nicholson
eva_sereny|Eva Sereny
peter_baldwin|Peter Baldwin
gary_ross|Gary Ross
timbor_bekmambetov|Timur Bekmambetov
kathryn_bigelow|Kathryn Bigelow
felix_enriquez_alcala|Félix Enríquez Alcalá
glen_pitre|Glen Pitre
christopher_hampton|Christopher Hampton
ted_nicolaou|Ted Nicolaou
lucky_mckee|Lucky McKee
lewis_teague|Lewis Teague
bryan_lewis|Bryan Lewis
andy_tennant|Andy Tennant
joe-flood|Joe Flood
jack_couffer|Jack Couffer
carlos_carrera|Carlos Carrera
michael_catonjones|Michael Caton-Jones
scott_winant|Scott Winant
richard_t_heffron|Richard T. Heffron
victor_saville|Victor Saville
tuck-tucker|Tuck Tucker
carl_schultz|Carl Schultz
alain_berliner|Alain Berliner
manny_nathan_hahn|Manny Nathan Hahn
john_schlesinger|John Schlesinger
1013265-james_robinson|James Robinson
thomas_mccarthy|Thomas McCarthy
tarsem|Tarsem Singh
brent_maddock|Brent Maddock
1073412-nancy_walker|Nancy Walker
clare_kilner|Clare Kilner
jackie_kong|Jackie Kong
hiroyuki_okiura|Hiroyuki Okiura
dorothy_arzner|Dorothy Arzner
alan_hruska|Alan Hruska
wesley_ruggles|Wesley Ruggles
terry_george|Terry George
jonathan_mostow|Jonathan Mostow
josef_fares|Josef Fares
austin_chick|Austin Chick
jeff_feuerzeig|Jeff Feuerzeig
gregg_araki|Gregg Araki
saul_metzstein|Saul Metzstein
harold_becker|Harold Becker
john_boorman|John Boorman
clive_a_smith|Clive A. Smith
paul_rodriguez|Paul Rodriguez
gary_halvorson|Gary Halvorson
tom_shadyac|Tom Shadyac
john_milius|John Milius
kohtaru_terauchi|Kohtaru Terauchi
dale_stelly|Dale Stelly
catherine_hardwicke|Catherine Hardwicke
1184531-stephen_walker|Stephen Walker
yves_robert|Yves Robert
lucile_hadzihalilovic|Lucile Hadzihalilovic
1053511-steve_james|Steve James
rusty_cundieff|Rusty Cundieff
dein-perry|Dein Perry
mark_palansky|Mark Palansky
michael_tolkin|Michael Tolkin
brian_hutton|Brian G. Hutton
trevor_moore|Trevor Moore
rosanna_arquette|Rosanna Arquette
christian-charles|Christian Charles
jacques_perrin|Jacques Perrin
kirk_de_micco|Kirk De Micco
juan_jose_campanella|Juan José Campanella
gregory_jacobs|Gregory Jacobs
buichi_saito|Buichi Saito
achero_manas_ii|Achero Mañas
nicolas_roeg|Nicolas Roeg
1066196-rodrigo_garcia|Rodrigo García
douglas_trumbull|Douglas Trumbull
regis_wargnier|Régis Wargnier
max_faerberboeck|Max Färberböck
billy-hopkins|Billy Hopkins
philippe_mora|Philippe Mora
_0375476|Jaime Hellman
thorold_dickinson|Thorold Dickinson
costas_mandylor|Costas Mandylor
alan_j_pakula|Alan J. Pakula
randall_miller|Randall Miller
kazuya_tsurumaki|Kazuya Tsurumaki
larry_bishop|Larry Bishop
paul_lazarus|Paul Lazarus
paul_moloney|Paul Moloney
matt_maiellaro|Matt Maiellaro
quanan_wang|Quanan Wang
tony_gilroy|Tony Gilroy
_0676336|Barbara Peeters
damon_santostefano|Damon Santostefano
mario_van_peebles|Mario Van Peebles
francisco_j_lombardi|Francisco J. Lombardi
jake_kasdan|Jake Kasdan
claudia_lonow|Claudia Lonow
hugh-hudson|Hugh Hudson
walter_hill|Walter Hill
1175606-denis_dercourt|Denis Dercourt
frederic_golchan|Frederic Golchan
michael_crichton|Michael Crichton
nathan_juran|Nathan Juran
matthew_ryan_hoge|Matthew Ryan Hoge
joe_dante|Joe Dante
sidney_lanfield|Sidney Lanfield
wolfgang_petersen|Wolfgang Petersen
rob_corn|Rob Corn
simon_wells|Simon Wells
robert_de_niro|Robert De Niro
michael_coldewey|Michael Coldewey
vincent_mceveety|Vincent McEveety
tommy_lee_jones|Tommy Lee Jones
sean_anders|Sean Anders
david_twohy|David Twohy
vicente_aranda|Vicente Aranda
ken_annakin|Ken Annakin
david_decoteau|David DeCoteau
1140240-tom_brady|Tom Brady
nuri_bilge_ceylan|Nuri Bilge Ceylan
mark_pavia|Mark Pavia
gary_sherman|Gary Sherman
robert-kaylor|Robert Kaylor
mariejeanne_pascal|Marie-Jeanne Pascal
gillian_armstrong|Gillian Armstrong
alison_maclean|Alison Maclean
martha_coolidge|Martha Coolidge
malcolm_d_lee|Malcolm D. Lee
anne_de_salvo|Anne De Salvo
dagmar_schindel_hildebrad|Dagmar Schindel-Hildebrad
mark_jonathan_harris|Mark Jonathan Harris
sherm_cohen|Sherm Cohen
jonathan_nossiter|Jonathan Nossiter
wang-hong-wei|Hongwei Wang
dave_borthwick|Dave Borthwick
neil_labute|Neil LaBute
bryan_johnson|Bryan Johnson
christian_zubert|Christian Zubert
chazz_palminteri|Chazz Palminteri
allen_coulter|Allen Coulter
phillip_rhee|Phillip Rhee
adam_curtis|Adam Curtis
david_schwimmer|David Schwimmer
mathieu_kassovitz|Mathieu Kassovitz
martin_weisz|Martin Weisz
alex_turner_ii|Alex Turner (II)
kim-bartley|Kim Bartley
ken_loach|Ken Loach
dj_caruso|D.J. Caruso
manny_coto|Manny Coto
miranda_july|Miranda July
joel_surnow|Joel Surnow
james_gray|James Gray
bob_clark_iii|Bob Clark (III)
delbert_mann|Delbert Mann
genevieve_jolliffe|Geneviève Jolliffe
1190618-kevin_willmott|Kevin Willmott
scott_ziehl|Scott Ziehl
john_stainton|John Stainton
marc_evans|Marc Evans
mikael_kristersson|Mikael Kristersson
dennie_gordon|Dennie Gordon
baz_luhrmann|Baz Luhrmann
alain_chabat|Alain Chabat
reginald_le_borg|Reginald Le Borg
jeffrey_bloom|Jeffrey Bloom
bud_s_smith|Bud S. Smith
glen_goei|Glen Goei
lukas_moodysson|Lukas Moodysson
alexandre_tarta|Alexandre Tarta
skip_woods|Skip Woods
antoine_fuqua|Antoine Fuqua
paul_bogart|Paul Bogart
zhuangzhuang_tian|Zhuangzhuang Tian
menghwa_ho|Meng-Hwa Ho
edouard_molinaro|Edouard Molinaro
1185574-chris_carter|Chris Carter
tim_sullivan_iii|Tim Sullivan (III)
mike-bigelow|Mike Bigelow
brenda_chapman|Brenda Chapman
melisa_wallack|Melisa Wallack
eric_louzil|Eric Louzil
robert_cary|Robert Cary
1151855-joseph_kahn|Joseph Kahn
richard_rich|Richard Rich
richard_loncraine|Richard Loncraine
anthony_abrams|Anthony Abrams
mustafa_adouani|Mustafa Adouani
kiyoshi_kurosawa|Kiyoshi Kurosawa
michael_winterbottom|Michael Winterbottom
craig_mccracken|Craig McCracken
marek_koterski|Marek Koterski
alan_cohn|Alan Cohn
mark_robson|Mark Robson
edward_james_olmos|Edward James Olmos
david_hillenbrand|David Hillenbrand
paulo-morelli|Paulo Morelli
joseph_kane|Joseph Kane
joan_micklin_silver|Joan Micklin Silver
lyndall_hobbs|Lyndall Hobbs
howard_leeds|Howard Leeds
steve_rash|Steve Rash
michael_reeves|Michael Reeves
borja_manso|Borja Manso
russ_mayberry|Russ Mayberry
charles_robert_carner|Charles Robert Carner
mel_damski|Mel Damski
jeff_pollack|Jeff Pollack
ingmar_bergman|Ingmar Bergman
jeanjacques_beineix|Jean-Jacques Beineix
1165744-james_mcteigue|James McTeigue
tommy_lee_wallace|Tommy Lee Wallace
stanley_kwan|Stanley Kwan
jack_cardiff|Jack Cardiff
cate_shortland|Cate Shortland
brad_silberling|Brad Silberling
alan_rafkin|Alan Rafkin
ray_burdis|Ray Burdis
robert_defranco|Robert DeFranco
alice_wu|Alice Wu
aku_louhimies|Aku Louhimies
john_r_cherry|John R. Cherry
1140857-mark_frost|Mark Frost
chris_sivertson|Chris Sivertson
charles_sturridge|Charles Sturridge
paul_mcguigan|Paul McGuigan
_0326161|Allan A. Goldstein
tran_anh_hung|Tran Anh Hung
hiroshi_nishikiori|Hiroshi Nishikiori
anthony_russo|Anthony Russo
john_bailey|John Bailey
_0259589|John Erman
barbara_albert|Barbara Albert
inoshiro-honda|Ishirô Honda
gurinder_chadha|Gurinder Chadha
edvin_laine|Edvin Laine
james_lapine|James Lapine
peter_tolan|Peter Tolan
robert_lieberman|Robert Lieberman
forest_whitaker|Forest Whitaker
jean_kounen|Jean Kounen
john-antonelli|John Antonelli
harold_prince|Harold Prince
tamas-sas|Tamas Sas
richard_linklater|Richard Linklater
michael_curtiz|Michael Curtiz
1051419-robert_gordon|Robert Gordon
charles_walters|Charles Walters
deborah_brock|Deborah Brock
_0703890|John Quinn
ian_mcnaughton|Ian McNaughton
richard_w_haines|Richard W. Haines
326391904|Vondie CurtisHall
jorge_furtado|Jorge Furtado
_0417691|Zoran Janjic
nicolas_echevarria|Nicolás Echevarría
leni_riefenstahl|Leni Riefenstahl
peter_horton|Peter Horton
jeanluc_godard|Jean-Luc Godard
paul_ziller|Paul Ziller
lamont_johnson|Lamont Johnson
yuri_zeltser|Yuri Zeltser
john_malkovich|John Malkovich
1180381-john_stevenson|John Stevenson
1128440-chris_roberts|Chris Roberts
carlos_diegues|Carlos Diegues
risa_bramon_garcia|Risa Bramon Garcia
edgarulmer|Edgar G. Ulmer
rodney_gibbons|Rodney Gibbons
alex_graves|Alex Graves
douglas_sirk|Douglas Sirk
david-price|David Price
steven_spielberg|Steven Spielberg
carlo_carlei|Carlo Carlei
anthony_minghella|Anthony Minghella
elwood-perez|Elwood Perez
samira_makhmalbaf|Samira Makhmalbaf
bennett_miller|Bennett Miller
joe_pytka|Joe Pytka
ken_hughes|Ken Hughes
peter_del_monte|Peter Del Monte
paolo_barzman|Paolo Barzman
hans_weingartner|Hans Weingartner
joseph_l_mankiewicz|Joseph L. Mankiewicz
walter_lang|Walter Lang
1046415-alan_jacobs|Alan Jacobs
fritz_kiersch|Fritz Kiersch
michel_gondry|Michel Gondry
john_payson|John Payson
sean_s_cunningham|Sean S. Cunningham
henry_jaglom|Henry Jaglom
1168219-takashi_shimizu|Takashi Shimizu
al_reinert|Al Reinert
eric_byler|Eric Byler
mel_smith|Mel Smith
stuart_burge|Stuart Burge
mike_van_diem|Mike van Diem
hamlet_sarkissian|Hamlet Sarkissian
stanley_tong|Stanley Tong
james_mangold|James Mangold
1127619-matthew_diamond|Matthew Diamond
irwin_winkler|Irwin Winkler
christy_cabanne|Christy Cabanne
1175117-mark_fergus|Mark Fergus
edward_dmytryk|Edward Dmytryk
grigorij_aleksandrov|Grigori Aleksandrov
mcg|McG
nicholas-hope|Nicholas Hope
pat_oconner|Pat O'Conner
tony-piccirillo|Tony Piccirillo
john_mallory_asher|John Mallory Asher
1055580-mark_brown|Mark Brown
scott_hicks|Scott Hicks
chuck-sheetz|Chuck Sheetz
pete_schuermann|Pete Schuermann
william_wellman|William A. Wellman
mitchell-altieri|Mitchell Altieri
1045105-todd_phillips|Todd Phillips
erik_ejduk|Erik Ajduk
justin_lin|Justin Lin
gerald_potterton|Gerald Potterton
carlos_marcovich|Carlos Marcovich
neil_abramson|Neil Abramson
guillaume_canet|Guillaume Canet
kerry_conran|Kerry Conran
ryan-little|Ryan Little
john_dahl|John Dahl
kon_ichikawa|Kon Ichikawa
peter_weir|Peter Weir
byambasuren-davaa|Byambasuren Davaa
dj_pooh|D.J. Pooh
marco_tullio_giordana|Marco Tullio Giordana
arnold_laven|Arnold Laven
joseph_ellison|Joseph Ellison
derek_burbidge|Derek Burbidge
_0668132|Michael Paxton
brett_c_leonard|Brett C. Leonard
louis_ck|Louis C.K.
norberto_barba|Norberto Barba
chris_walas|Chris Walas
agnes_moorehead|Agnes Moorehead
gene_wilder|Gene Wilder
kenji_mizoguchi|Kenji Mizoguchi
conan_le_cilaire|Conan Le Cilaire
joel_bender|Joel Bender
phil_alden_robinson|Phil Alden Robinson
_0538893|Laird M. Malamed
_0402383|Chris Hunt
_0971919|Pete Jones
josee_dayan|Josée Dayan
robert_rosen|Robert Rosen
jeff_bates|Jeff Bates
philip_goodhew|Philip Goodhew
jack_clayton|Jack Clayton
john_schultz|John Schultz
andy_warhol|Andy Warhol
joseph_brooks|Joseph Brooks
1180609-jake_west|Jake West
don_siegel|Don Siegel
steven-baigelman|Steven Baigelman
daniel_waters|Daniel Waters
james_b_clark|James B. Clark
jeanjacques_annaud|Jean-Jacques Annaud
russell_mulcahy|Russell Mulcahy
donal_lardner_ward|Donal Lardner Ward
costa_botes|Costa Botes
_0525141|John Luessenhop
vince-clark|Vince Clark
chris_sanders|Chris Sanders (III)
1041466-richard_franklin|Richard Franklin
364630944|Gene Fowler Jr.
yang_zhang|Yang Zhang
abraham_polonsky|Abraham Polonsky
yoshihiro_nishimura|Yoshihiro Nishimura
frank_lloyd|Frank Lloyd
erich_von_stroheim|Erich von Stroheim
john_guillermin|John Guillermin
jean_negulesco|Jean Negulesco
liz_garbus|Liz Garbus
danielle_thompson|Danielle Thompson
kevin_s_tenney|Kevin Tenney
alex_proyas|Alex Proyas
dominique_deruddere|Dominique Deruddere
buster_keaton|Buster Keaton
joe_nussbaum|Joe Nussbaum
adam_mckay|Adam McKay
brian_dannelly|Brian Dannelly
carl_theodor_dreyer|Carl Theodor Dreyer
bruce_brown|Bruce Brown
daniel_bressanutti|Daniel Bressanutti
michael_mann|Michael Mann
alexandra-cassavetes|Alexandra Cassavetes
martin_lawrence|Martin Lawrence
john_nicolella|John Nicolella
charles_russell|Charles Russell
martin_wood|Martin Wood
joel_zwick|Joel Zwick
jerry_belson|Jerry Belson
jessica_yu|Jessica Yu
claude_nuridsany|Claude Nuridsany
james_b_harris|James B. Harris
dan-ollman|Dan Ollman
stefan_schwartz|Stefan Schwartz
charles_martin_smith|Charles Martin Smith
william_butler|William Butler
shawn_bannon|Shawn Bannon
john_hough|John Hough
rob-king|Rob King
herbert_blache|Herbert Blaché
mark_illsley|Mark Illsley
melville_shavelson|Melville Shavelson
fernando_meirelles|Fernando Meirelles
hiroshi_morioka|Hiroshi Morioka
mort_nathan|Mort Nathan
_0001555|Rob Morrow
stephen_weeks|Stephen Weeks
seth_zvi_rosenfeld|Seth Zvi Rosenfeld
gregor-schnitzler|Gregor Schnitzler
richard_eyre|Richard Eyre
ulrich_seidl|Ulrich Seidl
stacy-cochran|Stacy Cochran
rudolph_mate|Rudolph Maté
thanit_jitnukul|Thanit Jitnukul
clint_eastwood|Clint Eastwood
alexander_mackendrick|Alexander Mackendrick
joe_chappelle|Joe Chappelle
george_sidney_ii|George Sidney II
morgan_j_freeman|Morgan J. Freeman
brian_d_clark|Brian D Clark
1052316-peter_hewitt|Peter Hewitt
ted-berman|Ted Berman
